month,commits,files_changed,additions,deletions
2011-02,194,212,3905,1659
2011-03,14,15,78,32
2011-04,24,19,526,77
2011-05,121,165,2924,1403
2011-06,58,69,2798,278
2011-07,24,24,179,38
2011-08,221,240,2499,1177
2011-09,105,175,2923,2432
2011-10,237,287,4554,2623
2011-11,208,232,3515,2396
2011-12,82,103,706,292
2012-01,166,203,1866,884
2012-02,126,134,938,466
2012-03,100,111,645,405
2012-04,59,74,1057,581
2012-05,143,140,1123,1961
2012-06,75,151,21396,474
2012-07,65,67,1058,453
2012-08,123,118,1184,813
2012-09,40,34,188,110
2012-10,62,77,439,179
2012-11,59,200,16160,18358
2012-12,205,361,8029,17614
2013-01,102,97,594,323
2013-02,50,49,243,95
2013-03,73,81,858,260
2013-04,78,78,759,269
2013-05,58,54,289,129
2013-06,30,22,176,29
2013-07,85,84,452,321
2013-08,27,18,116,24
2013-09,58,56,1142,226
2013-10,97,90,5726,3804
2013-11,49,55,383,187
2013-12,70,112,5074,4666
2014-01,66,57,400,170
2014-02,25,27,157,90
2014-03,39,39,543,149
2014-04,32,35,2521,1968
2014-05,45,30,157,101
2014-06,22,18,131,90
2014-07,48,60,1036,687
2014-08,46,57,385,147
2014-09,45,40,195,86
2014-10,47,47,260,109
2014-11,22,12,69,22
2014-12,32,40,677,231
2015-01,27,30,218,120
2015-02,25,26,1572,1298
2015-03,50,41,318,124
2015-04,58,59,754,376
2015-05,38,34,216,133
2015-06,15,10,37,15
2015-07,21,24,522,131
2015-08,45,37,156,67
2015-09,24,19,123,59
2015-10,61,60,1931,1083
2015-11,43,42,252,85
2015-12,49,88,909,1237
2016-01,31,27,126,73
2016-02,114,140,2134,1425
2016-03,48,53,609,388
2016-04,46,55,517,162
2016-05,27,35,420,113
2016-06,25,29,226,42
2016-07,31,66,289,174
2016-08,52,67,1163,278
2016-09,41,35,294,110
2016-10,37,46,9875,43
2016-11,78,93,9701,2890
2016-12,42,38,425,149
2017-01,82,91,1593,298
2017-02,57,64,534,220
2017-03,37,35,329,88
2017-04,33,39,685,162
2017-05,267,512,7143,38331
2017-06,40,52,518,228
2017-07,31,20,101,28
2017-08,49,51,157,81
2017-09,50,58,1072,161
2017-10,29,31,144,37
2017-11,22,17,200,72
2017-12,4,12,483,17
2018-01,27,37,227,512
2018-02,22,40,70,100
2018-03,129,251,3421,3728
2018-04,7,8,13,11
2018-05,22,14,402,224
2018-06,29,31,134,88
2018-07,12,17,71,28
2018-08,9,7,48,52
2018-09,46,63,2444,2040
2018-10,16,27,112,96
2018-11,20,19,166,435
2018-12,10,21,434,136
2019-01,10,7,493,495
2019-02,14,26,247,356
2019-03,5,4,5,17
2019-04,17,14,416,277
2019-05,28,21,116,51
2019-06,6,3,5,5
2019-07,17,10,31,65
2019-08,49,42,76,256
2019-09,174,180,713,587
2019-10,5,15,32,32
2019-11,1,0,0,0
2020-01,10,11,26,21
2020-02,15,20,356,326
2020-03,3,8,48,19
2020-04,4,5,102,112
2020-05,3,3,12,5
2020-06,12,11,32,20
2020-07,1,1,1,0
2020-08,10,44,276,528
2020-09,5,4,8,5
2020-10,6,5,85,12
2020-11,16,25,264,1272
2020-12,8,13,123,29
2021-01,4,2,2,2
2021-02,3,2,17,1
2021-03,6,5,12,8
2021-04,1,1,1,1
2021-05,3,7,26,9
2021-07,13,40,286,74
2021-08,11,14,102,15
2021-09,6,18,66,36
2021-10,2,2,12,7
2021-11,8,9,76,27
2021-12,14,12,79,31
2022-01,10,12,54,8
2022-02,9,8,123,17
2022-03,2,21,167,180
2022-04,2,40,2835,2399
2022-05,3,4,45,122
2022-06,12,19,174,87
2022-07,2,2,3,4
2022-09,2,1,3,3
2022-10,4,5,6,5
2022-11,2,1,1,1
2022-12,2,2,4,2
2023-01,5,10,44,11
2023-02,2,4,50,15
2023-03,2,3,9,8
2023-04,6,7,26,63
2023-05,7,15,88,27
2023-06,1,1,1,1
2023-07,5,5,37,13
2023-08,23,54,87,100
2023-09,6,10,48,7
2023-10,12,9,15,17
2023-11,18,15,45,13
2023-12,22,19,96,46
2024-01,3,3,23,3
2024-02,16,14,26,34
2024-03,6,35,814,12
2024-04,9,7,20,11
2024-05,18,24,304,77
2024-07,7,9,68,52
2024-08,2,1,3,3
2024-09,12,13,18,22
2024-10,5,4,8,8
2024-11,3,3,6,129
2024-12,1,0,0,0
2025-01,2,1,3,3
2025-02,14,20,293,281
2025-03,4,6,25,15
2025-04,4,3,5,5
2025-05,3,5,30,4
2025-06,10,14,203,74
2025-07,5,10,24,22
2025-08,4,7,24,10
2025-09,5,5,9,9
2025-10,2,1,3,3
2026-01,13,33,175,206
2026-02,15,19,89,66
2026-03,19,30,146,56
2026-04,17,30,135,370
2026-05,25,70,1635,716
2026-06,13,35,116,68
2026-07,7,14,20,20
2026-08,5,5,5,5
2026-09,1,1,1,1
