repository,file_path,file_name,directory,language,extension,loc,size_bytes,is_test_file
fastapi,docs/en/docs/js/custom.js,custom.js,docs/en/docs/js,JavaScript,.js,237,9284,False
fastapi,docs/en/docs/js/init_kapa_widget.js,init_kapa_widget.js,docs/en/docs/js,JavaScript,.js,29,2333,False
fastapi,docs/en/docs/js/termynal.js,termynal.js,docs/en/docs/js,JavaScript,.js,237,9500,False
fastapi,docs_src/additional_responses/__init__.py,__init__.py,docs_src/additional_responses,Python,.py,0,0,False
fastapi,docs_src/additional_responses/tutorial001_py310.py,tutorial001_py310.py,docs_src/additional_responses,Python,.py,14,506,False
fastapi,docs_src/additional_responses/tutorial002_py310.py,tutorial002_py310.py,docs_src/additional_responses,Python,.py,22,596,False
fastapi,docs_src/additional_responses/tutorial003_py310.py,tutorial003_py310.py,docs_src/additional_responses,Python,.py,29,837,False
fastapi,docs_src/additional_responses/tutorial004_py310.py,tutorial004_py310.py,docs_src/additional_responses,Python,.py,22,669,False
fastapi,docs_src/additional_status_codes/__init__.py,__init__.py,docs_src/additional_status_codes,Python,.py,0,0,False
fastapi,docs_src/additional_status_codes/tutorial001_an_py310.py,tutorial001_an_py310.py,docs_src/additional_status_codes,Python,.py,20,686,False
fastapi,docs_src/additional_status_codes/tutorial001_py310.py,tutorial001_py310.py,docs_src/additional_status_codes,Python,.py,19,646,False
fastapi,docs_src/advanced_middleware/__init__.py,__init__.py,docs_src/advanced_middleware,Python,.py,0,0,False
fastapi,docs_src/advanced_middleware/tutorial001_py310.py,tutorial001_py310.py,docs_src/advanced_middleware,Python,.py,7,231,False
fastapi,docs_src/advanced_middleware/tutorial002_py310.py,tutorial002_py310.py,docs_src/advanced_middleware,Python,.py,9,279,False
fastapi,docs_src/advanced_middleware/tutorial003_py310.py,tutorial003_py310.py,docs_src/advanced_middleware,Python,.py,7,230,False
fastapi,docs_src/app_testing/__init__.py,__init__.py,docs_src/app_testing,Python,.py,0,0,False
fastapi,docs_src/app_testing/app_a_py310/__init__.py,__init__.py,docs_src/app_testing/app_a_py310,Python,.py,0,0,False
fastapi,docs_src/app_testing/app_a_py310/main.py,main.py,docs_src/app_testing/app_a_py310,Python,.py,5,118,False
fastapi,docs_src/app_testing/app_a_py310/test_main.py,test_main.py,docs_src/app_testing/app_a_py310,Python,.py,7,238,True
fastapi,docs_src/app_testing/app_b_an_py310/__init__.py,__init__.py,docs_src/app_testing/app_b_an_py310,Python,.py,0,0,False
fastapi,docs_src/app_testing/app_b_an_py310/main.py,main.py,docs_src/app_testing/app_b_an_py310,Python,.py,28,1163,False
fastapi,docs_src/app_testing/app_b_an_py310/test_main.py,test_main.py,docs_src/app_testing/app_b_an_py310,Python,.py,51,1866,True
fastapi,docs_src/app_testing/app_b_py310/__init__.py,__init__.py,docs_src/app_testing/app_b_py310,Python,.py,0,0,False
fastapi,docs_src/app_testing/app_b_py310/main.py,main.py,docs_src/app_testing/app_b_py310,Python,.py,27,1113,False
fastapi,docs_src/app_testing/app_b_py310/test_main.py,test_main.py,docs_src/app_testing/app_b_py310,Python,.py,51,1866,True
